Using 1 GPUs
Namespace(aux=False, aux_weight=0.4, base_size=700, batch_size=32, crop_size=700, dataset='elements', device='cuda', distributed=False, epochs=999, local_rank=0, log_dir='../runs/logs/', log_iter=1, lr=0.01, max_nonimprovement=2, model='mobilenetv3_small', momentum=0.9, no_cuda=False, num_gpus=1, ohem=False, resume='C:/Users/Admin/PycharmProjects/lightweight/runs/saved_state/best/best_model.pth', save_dir='c:/users/admin/pycharmprojects/lightweight/runs/saved_state/best', save_epoch=10, skip_val=False, start_epoch=0, val_epoch=5, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=1)


iteration 1 || iter_time: 5.25393009185791 | iter_pixAcc: 0.8535665816326531 | iter_mIoU: 0.04910402372479439 | iter_combined: 0.9026706053574475
iteration 2 || iter_time: 0.887969970703125 | iter_pixAcc: 0.8703657844387755 | iter_mIoU: 0.05290834233164787 | iter_combined: 0.9232741267704234
iteration 3 || iter_time: 0.8829760551452637 | iter_pixAcc: 0.8668889243197279 | iter_mIoU: 0.07196927815675735 | iter_combined: 0.9388582024764852
iteration 4 || iter_time: 0.890972375869751 | iter_pixAcc: 0.8678623724489796 | iter_mIoU: 0.11194317787885666 | iter_combined: 0.9798055503278362
iteration 5 || iter_time: 0.9049665927886963 | iter_pixAcc: 0.8734514923469388 | iter_mIoU: 0.1440751552581787 | iter_combined: 1.0175266476051175
iteration 6 || iter_time: 0.9019699096679688 | iter_pixAcc: 0.880125637755102 | iter_mIoU: 0.1646524965763092 | iter_combined: 1.0447781343314113
iteration 7 || iter_time: 0.8999714851379395 | iter_pixAcc: 0.8819230047376093 | iter_mIoU: 0.17688508331775665 | iter_combined: 1.058808088055366
iteration 8 || iter_time: 0.897972583770752 | iter_pixAcc: 0.8816749202806122 | iter_mIoU: 0.18414348363876343 | iter_combined: 1.0658184039193757
iteration 9 || iter_time: 0.9029698371887207 | iter_pixAcc: 0.8815213293650793 | iter_mIoU: 0.19014190137386322 | iter_combined: 1.0716632307389427
iteration 10 || iter_time: 0.8969719409942627 | iter_pixAcc: 0.8834409056122449 | iter_mIoU: 0.19577021896839142 | iter_combined: 1.0792111245806364
iteration 11 || iter_time: 0.9069714546203613 | iter_pixAcc: 0.8840523886827458 | iter_mIoU: 0.19974124431610107 | iter_combined: 1.083793632998847
iteration 12 || iter_time: 0.8939595222473145 | iter_pixAcc: 0.8845382971938776 | iter_mIoU: 0.20273222029209137 | iter_combined: 1.087270517485969
iteration 13 || iter_time: 0.8929715156555176 | iter_pixAcc: 0.8827809360282575 | iter_mIoU: 0.2040608674287796 | iter_combined: 1.086841803457037
iteration 14 || iter_time: 0.9069712162017822 | iter_pixAcc: 0.883200186771137 | iter_mIoU: 0.2061731070280075 | iter_combined: 1.0893732937991445
iteration 15 || iter_time: 0.8919727802276611 | iter_pixAcc: 0.8803820620748299 | iter_mIoU: 0.206170454621315 | iter_combined: 1.086552516696145
iteration 16 || iter_time: 0.9179708957672119 | iter_pixAcc: 0.8811709502551021 | iter_mIoU: 0.20806236565113068 | iter_combined: 1.0892333159062328
iteration 17 || iter_time: 0.9319698810577393 | iter_pixAcc: 0.8807715711284514 | iter_mIoU: 0.20909535884857178 | iter_combined: 1.0898669299770232
iteration 18 || iter_time: 0.9079720973968506 | iter_pixAcc: 0.8815241496598639 | iter_mIoU: 0.21046119928359985 | iter_combined: 1.0919853489434637
